rank,store_url,title,alexa
1,https://www.missoma.com/,"Missoma | Gold, Silver and Personalized Demi-Fine Jewelry","8,076"
2,https://www.kingice.com/,Designer Streetwear Jewelry | Hip Hop Jewelry,"9,716"
3,https://shopshashi.com/,SHASHI - Official SHASHI Jewelry Shop | SHASHI Earrings [Sale 15%],"9,801"
4,https://shineon.com/,"ShineOn - Positivity, Creativity &amp; Community In Every Order","13,729"
5,https://www.analuisa.com/,Ana Luisa | Carbon-neutral Jewelry,"18,360"
6,https://www.miansai.com/,Miansai - Artisans of Elevated Aesthetics - Jewelry for Men &amp; Women,"21,016"
7,https://www.pdpaola.com/,PDPAOLA I Real jewelry for real women I Official Site,"29,701"
8,https://gorjana.com/,"gorjana Jewelry Official Site | Necklaces, Bracelets, Earrings, Rings","33,033"
9,https://www.thegldshop.com/,Hip Hop Jewelry - Free Shipping | The GLD Shop,"34,281"
10,https://lagarconne.com/,La Garçonne | A Unique Point of View in Luxury Fashion,"47,134"
11,https://ins.com/,"INS Online Fashion Free Shipping Clothing, Dresses, Tops, Shoes","51,138"
12,https://www.a-ma-maniere.com/,A Ma Maniere,"52,359"
13,https://elevatedfaith.com/,"Elevated Faith® | Christian T-Shirts, Bracelets, Rings &amp; More‎","53,576"
14,https://auratenewyork.com/,Aurate New York | Set The Standard.,"55,415"
15,https://dressbarn.com/,"Dressbarn | Women’s Clothing, Designer Brands, Home Decor","57,689"
16,https://www.sivanaspirit.com/,"Sivana - Unique Clothing, Jewelry &amp; Gifts that give back.","58,503"
17,https://eandeproject.com/,E&amp;E PROJECT | WOMEN'S JEWELRY,"60,118"
18,https://www.taijewelry.com/,TAI JEWELRY | Women's handmade Jewelry,"60,387"
19,https://gldn.com/,"GLDN Personalized Jewelry. Handmade jewelry, just for you.","60,512"
20,https://www.localeclectic.com/,"local eclectic | emerging designers, limited editions &amp; fine jewelry","61,548"
21,https://shapesstudionyc.com/,A curation for the chic design,"61,636"
22,https://krisnations.com/,"Kris Nations Jewelry: Earrings, Rings, Necklaces, &amp; Bracelets","61,781"
23,https://www.karmaandluck.com/,Karma and Luck - Explore With Intention,"63,315"
24,https://shopgirlscrew.com/,Girls Crew,"64,226"
25,https://vrai.com/,VRAI: Engagement Rings &amp; Modern Diamond Jewelry,"66,067"
26,https://moonmagic.com/,Jewelry by Moon Magic | Quality Gemstone Jewelry | Browse 300+ Designs,"67,735"
27,https://www.crownforeverla.com/,Crown Forever,"72,333"
28,https://abillionz.com/,"AbillionZ | Home Of The Deals - Electronics, Home, Jewelry and more","74,366"
29,https://uncommonjames.com/,Jewelry | Uncommon James,"74,784"
30,https://www.victoriaemerson.com/,Victoria Emerson Leather Wrap Bracelets,"74,833"
31,https://marissacollections.com/,Luxury Fashion Boutique | Fine Jewelry Retailer,"75,311"
32,https://www.sophiebuhai.com/,Sophie Buhai,"77,164"
33,https://www.clocksandcolours.com/,Home – Shop Sterling Silver Jewelry,"82,479"
34,https://top-pearls.com/,Top Pearls - Find the Best Online Pearl jewelry store I,"85,240"
35,https://kinnstudio.com/,"Kinn jewelry. Modern heirlooms — then, now, always.","85,777"
36,https://shopsoko.com/,"Shop SOKO | Ethically made, modern jewelry and accessories","91,260"
37,https://www.shopmissa.com/,"The Original $1 Dollar Makeup, Cosmetics and Beauty Online Shop","92,990"
38,https://www.stoneandstrand.com/,STONE AND STRAND - Fine Jewelry Without The Markup,"94,492"
39,https://princessbridediamonds.com/,Princess Bride Diamonds | Engagement Rings and Fine Jewelry Store,"95,310"
40,https://www.12thtribe.com/,12th Tribe,"96,317"
41,https://thesparkleplace.com/,The Sparkle Place - Specialty Fashion Accessories - Bling Gifts,"99,361"
42,https://my-jewels.com/,Dropship Fine 925 Sterling Silver and K Gold Jewelry - Best Supplier,"100,009"
43,https://amyojewelry.com/,"Gold, Rose Gold &amp; Silver Fashion Jewelry","102,422"
44,https://www.frostnyc.com/,Hip Hop Jewelry - Men's Gold Chains &amp; Pendants | Frost NYC,"103,268"
45,https://consciousitems.com/,Spiritual Items &amp; Healing Jewelry | Conscious Items,"104,806"
46,https://triple-t-studios.com/,Best Gifts For Cat Lovers | Cat Toys | Cat Beds | Triple T Studios,"104,937"
47,https://nominalx.com/,Nominal | Intentional Jewelry,"109,694"
48,https://aliita.com/,Aliita Official Online Store | New Collection,"112,980"
